datetime,ipaddress,userid,handle,cookieid,event,params
11/15/2014 6:55,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=lists	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:55,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=posting	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:56,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=layout	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:56,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=general	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:56,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=admin&qa_1=stats	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:59,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions	sort=	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:59,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=1&qa_1=this-is-a-sample-question	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:59,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=1&qa_1=this-is-a-sample-question	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:59,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions	sort=	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:59,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=66446&qa_1=what-is-the-best-opengl-...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:59,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=66446&qa_1=what-is-the-best-opengl-...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:59,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions	sort=	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:59,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=66032&qa_1=order-of-dom-nodelist-re...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:59,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=66032&qa_1=order-of-dom-nodelist-re...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 6:59,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions	sort=	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=64781&qa_1=batch-insert-using-jpa-t...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=64781&qa_1=batch-insert-using-jpa-t...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=64781&qa_1=batch-insert-using-jpa-t...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=64781&qa_1=batch-insert-using-jpa-t...	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions	sort=	path=/~ezegarra/microprobe4/index.php"
11/15/2014 7:00,10.195.27.2,1,ezegarra,NULL,page_enter,"params=qa=questions	sort=	path=/~ezegarra/microprobe4/index.php"
