2015-01-21 12:20:13:0126, setup_loaddata_begin
2015-01-21 12:20:15:0840, setup_loaddata_end
2015-01-21 12:20:15:0870, setup_createactions_begin
2015-01-21 12:20:16:0040, setup_createactions_end
2015-01-21 12:21:27:0687, list_mousemoved, id=34571, type=1
2015-01-21 12:21:27:0707, list_mousemoved, id=34571, type=1
2015-01-21 12:21:27:0727, list_mousemoved, id=22697, type=1
2015-01-21 12:21:27:0817, list_mousemoved, id=22697, type=1
2015-01-21 12:21:27:0837, list_mousemoved, id=22697, type=1
2015-01-21 12:21:27:0847, list_mousemoved, id=34571, type=1
2015-01-21 12:21:27:0857, list_mousemoved, id=34571, type=1
2015-01-21 12:21:27:0887, list_mousemoved, id=34571, type=1
2015-01-21 12:21:27:0897, list_mousemoved, id=34571, type=1
2015-01-21 12:21:27:0907, list_mousemoved, id=34571, type=1
2015-01-21 12:21:27:0917, list_mousemoved, id=34571, type=1
2015-01-21 12:21:27:0947, list_mousemoved, id=34571, type=1
2015-01-21 12:21:27:0957, list_mousemoved, id=34571, type=1
2015-01-21 12:21:27:0977, list_mousemoved, id=42102, type=1
2015-01-21 12:21:27:0997, list_mousemoved, id=42102, type=1
2015-01-21 12:21:28:0007, list_mouseexited
2015-01-21 12:23:03:0166, diag_itementered, id=6658, type=1
2015-01-21 12:23:03:0996, diag_itemexited, id=6658, type=1
2015-01-21 12:23:07:0418, diag_itementered, id=6658, type=1
2015-01-21 12:23:09:0369, diag_itemexited, id=6658, type=1
2015-01-21 12:23:31:0108, diag_itementered, id=6658, type=1
2015-01-21 12:23:33:0290, diag_itemexited, id=6658, type=1
2015-01-21 12:23:38:0067, setup_loaddata_begin
2015-01-21 12:23:38:0757, setup_loaddata_end
2015-01-21 12:23:38:0767, setup_createactions_begin
2015-01-21 12:23:38:0787, setup_createactions_end
2015-01-21 12:23:49:0365, setup_loaddata_begin
2015-01-21 12:23:49:0415, setup_loaddata_end
