2014-10-30 12:53:57:0885, diag_itemdragged, id=27240, type=1
2014-10-30 12:53:58:0013, diag_itemexited, id=27240, type=1
2014-10-30 12:53:58:0589, diag_itementered, id=-771804441, type=0
2014-10-30 12:53:59:0048, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0056, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0064, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0071, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0081, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0089, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0096, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0104, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0111, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0119, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0127, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0136, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0145, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0152, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0159, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0176, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0184, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0201, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0208, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0216, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0225, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0231, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0239, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0247, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0257, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0265, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0272, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0279, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0288, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0295, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0305, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0312, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0320, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0329, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0335, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0344, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0352, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0360, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0369, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0376, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0385, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0392, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0399, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0489, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0498, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0506, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0512, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0521, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0528, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0537, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0545, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0553, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0561, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0568, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0575, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0584, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0593, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0611, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0619, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0626, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0633, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0641, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0651, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0658, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0667, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0674, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0681, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0691, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0698, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0707, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0715, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0723, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0730, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0738, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0746, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0753, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0762, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0779, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0794, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0810, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0850, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0953, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0961, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0969, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0977, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0984, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:53:59:0992, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0000, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0010, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0017, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0025, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0032, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0041, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0049, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0056, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0064, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0072, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0080, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0087, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0096, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0104, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0112, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0120, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0129, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0137, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0144, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0161, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0169, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0185, diag_itemdragged, id=-771804441, type=0
2014-10-30 12:54:00:0385, diag_itemexited, id=-771804441, type=0
2014-10-30 12:54:00:0386, diag_itementered, id=382, type=1
2014-10-30 12:54:00:0421, diag_itemexited, id=382, type=1
2014-10-30 12:54:00:0488, diag_itementered, id=7539, type=1
2014-10-30 12:54:01:0108, edge_create, Tuple[0,1,0.34843378764169686,2,1.0,1414644806870,1414644806870]
2014-10-30 12:54:01:0108, pattern_create, -771804441
2014-10-30 12:54:01:0109, edge_create, Tuple[1,2,0.40121268709918245,2,1.0,1414644806870,1414644806870]
2014-10-30 12:54:01:0119, discussion_open, 7539
2014-10-30 12:54:01:0119, diag_itemclicked, id=7539, type=1
2014-10-30 12:54:01:0627, diag_itemexited, id=7539, type=1
2014-10-30 12:54:02:0680, diag_detail_itementered, id=7539, type=1
2014-10-30 12:54:02:0692, diag_detail_itemexited, id=7539, type=1
2014-10-30 12:54:02:0703, diag_detail_itementered, id=7539, type=1
2014-10-30 12:54:03:0208, diag_detail_itemexited, id=7539, type=1
2014-10-30 12:54:03:0687, diag_detail_itementered, id=-771804441, type=0
2014-10-30 12:54:04:0391, diag_detail_itemclicked, id=-771804441, type=0
2014-10-30 12:54:04:0624, edge_create, Tuple[0,1,0.837836734639183,2,1.0,1414644806870,1414644806870]
2014-10-30 12:54:04:0624, pattern_create, 1796611198
