2014-03-26 04:22:27:0173, setup_loaddata
2014-03-26 04:22:27:0579, setup_loaddata
2014-03-26 04:22:28:0000, setup_resizewin
2014-03-26 04:23:05:0458, edge_create, Tuple[4,12,0.5098388623891447,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0458, edge_create, Tuple[4,13,0.021599615081749013,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0458, edge_create, Tuple[4,14,0.2457460331929482,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0458, edge_create, Tuple[4,15,0.4970553269103658,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0458, edge_create, Tuple[4,16,0.6011461347284343,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0458, edge_create, Tuple[4,17,0.4030989824049134,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0458, edge_create, Tuple[4,18,0.8302429290184298,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0458, edge_create, Tuple[4,19,0.6884644925951293,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:05:0458, diag_itemclicked, id=6222, type=1
2014-03-26 04:23:05:0692, diag_itemexited, id=6222, type=1
2014-03-26 04:23:06:0877, diag_itementered, id=6222, type=1
2014-03-26 04:23:06:0924, diag_itemexited, id=6222, type=1
2014-03-26 04:23:06:0940, diag_itementered, id=5078, type=1
2014-03-26 04:23:06:0987, diag_itemexited, id=5078, type=1
2014-03-26 04:23:07:0205, diag_itementered, id=11088, type=1
2014-03-26 04:23:07:0955, edge_create, Tuple[0,1,0.4838645368573019,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:07:0955, answer_create, 11092
2014-03-26 04:23:07:0955, edge_create, Tuple[1,2,0.38832857912616714,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:07:0955, answer_create, 11098
2014-03-26 04:23:07:0955, edge_create, Tuple[1,3,0.57194793437569,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:07:0955, answer_create, 11101
2014-03-26 04:23:07:0955, edge_create, Tuple[1,4,0.8698285005282734,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:07:0955, answer_create, 15657
2014-03-26 04:23:07:0955, edge_create, Tuple[1,5,0.4528141761632488,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:07:0955, answer_create, 15874
2014-03-26 04:23:07:0955, edge_create, Tuple[1,6,0.06913177313234309,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:07:0955, answer_create, 19186
2014-03-26 04:23:07:0955, edge_create, Tuple[1,7,0.05103012260423356,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:07:0955, answer_create, 5047679
2014-03-26 04:23:07:0955, edge_create, Tuple[1,8,0.004891083464604984,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:07:0955, edge_create, Tuple[0,9,0.9868568440911266,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:07:0955, edge_create, Tuple[9,10,0.7642086672754554,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:07:0970, diag_itemclicked, id=11088, type=1
2014-03-26 04:23:08:0424, diag_itemexited, id=11088, type=1
2014-03-26 04:23:09:0781, list_mouseentered, 6765
2014-03-26 04:23:10:0813, discussion_open, 6765
2014-03-26 04:23:10:0844, list_mouseexited
2014-03-26 04:23:12:0841, list_mouseentered, 6682
2014-03-26 04:23:15:0905, discussion_open, 7720
2014-03-26 04:23:15:0936, list_mouseexited
2014-03-26 04:23:19:0758, list_mouseentered, 6682
2014-03-26 04:23:22:0801, discussion_open, 9913
2014-03-26 04:23:22:0849, list_mouseexited
2014-03-26 04:23:25:0766, list_mouseentered, 6682
2014-03-26 04:23:27:0202, discussion_open, 10586
2014-03-26 04:23:27:0234, list_mouseexited
2014-03-26 04:23:45:0674, list_mouseentered, 8219
2014-03-26 04:23:48:0030, discussion_open, 6765
2014-03-26 04:23:48:0062, list_mouseexited
2014-03-26 04:23:49:0576, list_mouseentered, 6765
2014-03-26 04:23:49:0825, list_mouseexited
2014-03-26 04:23:50:0309, diag_itementered, id=6658, type=1
2014-03-26 04:23:50:0981, edge_create, Tuple[0,1,0.7860434906776701,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0981, answer_create, 6659
2014-03-26 04:23:50:0981, edge_create, Tuple[1,2,0.20286034836051214,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0981, answer_create, 6671
2014-03-26 04:23:50:0981, edge_create, Tuple[1,3,0.9362631891146022,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0981, answer_create, 6713
2014-03-26 04:23:50:0981, edge_create, Tuple[1,4,0.040285772873882464,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0981, answer_create, 14412
2014-03-26 04:23:50:0981, edge_create, Tuple[1,5,0.8386569142767919,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0981, answer_create, 46727
2014-03-26 04:23:50:0981, edge_create, Tuple[1,6,0.011147149733915063,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0981, answer_create, 430893
2014-03-26 04:23:50:0981, edge_create, Tuple[1,7,0.8582285587721199,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0996, answer_create, 1232919
2014-03-26 04:23:50:0996, edge_create, Tuple[1,8,0.5491359551070161,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0996, answer_create, 3522444
2014-03-26 04:23:50:0996, edge_create, Tuple[1,9,0.6593212523342287,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0996, answer_create, 14729899
2014-03-26 04:23:50:0996, edge_create, Tuple[1,10,0.8058294877299962,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0996, answer_create, 17062476
2014-03-26 04:23:50:0996, edge_create, Tuple[1,11,0.7918274947926593,4,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0996, edge_create, Tuple[0,12,0.9690533792523187,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0996, edge_create, Tuple[12,13,0.30549611322295045,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0996, edge_create, Tuple[12,14,0.05331071161522083,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0996, edge_create, Tuple[12,15,0.7646740180186095,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0996, edge_create, Tuple[12,16,0.9419272518476232,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0996, edge_create, Tuple[12,17,0.9306599111137209,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0996, edge_create, Tuple[12,18,0.20980374079866115,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:50:0996, edge_create, Tuple[12,19,0.10578099646561845,1,0.0,1395822146252,1395822146252]
2014-03-26 04:23:51:0013, diag_itemclicked, id=6658, type=1
2014-03-26 04:23:54:0382, diag_itemexited, id=6658, type=1
